Page,total_views,total_sessions,total_users,total_conversions,avg_drop_off,conversion_rate
Gibraltar_de.wikipedia.org_mobile-web_all-agents,556118,803,548,803,-0.12970309365752408,1.0
長谷部誠_ja.wikipedia.org_mobile-web_all-agents,555637,803,537,803,-0.3458332065378299,1.0
"Раневская,_Фаина_Георгиевна_ru.wikipedia.org_mobile-web_all-agents",554890,803,544,803,-0.07830364286614878,1.0
Star_Wars:_Episode_I_–_Die_dunkle_Bedrohung_de.wikipedia.org_mobile-web_all-agents,554637,803,554,802,-0.17423789270535028,0.9987546699875467
Mid-Autumn_Festival_en.wikipedia.org_mobile-web_all-agents,553614,803,555,802,-0.030191095590183337,0.9987546699875467
Blac_Chyna_es.wikipedia.org_mobile-web_all-agents,550849,803,560,523,-inf,0.651307596513076
Gottfried_Wilhelm_Leibniz_de.wikipedia.org_all-access_all-agents,548273,803,552,803,-0.03737074356331269,1.0
"Салдана,_Зои_ru.wikipedia.org_desktop_all-agents",545682,803,549,803,-0.024703948077134125,1.0
T.M.Revolution_ja.wikipedia.org_mobile-web_all-agents,544046,803,557,803,-0.08532816423960642,1.0
Предменструальный_синдром_ru.wikipedia.org_mobile-web_all-agents,542829,803,572,803,-0.007998610499502021,1.0
黃秋生_zh.wikipedia.org_all-access_all-agents,541050,803,559,803,-0.04010866214825526,1.0
Boeing_747_de.wikipedia.org_mobile-web_all-agents,540287,803,548,803,-0.048378275552770945,1.0
Древнерусское_государство_ru.wikipedia.org_mobile-web_all-agents,540037,803,560,652,-0.021794524795490704,0.8119551681195517
Geometría_analítica_es.wikipedia.org_desktop_all-agents,537411,803,543,790,-0.07469465010078467,0.9838107098381071
Soraya_Tarzi_en.wikipedia.org_all-access_all-agents,537092,803,549,349,-3.0939968320328894,0.43462017434620176
"Ли,_Брэндон_ru.wikipedia.org_mobile-web_all-agents",535110,803,552,803,-0.11735717562187209,1.0
Apollonia_Kotero_en.wikipedia.org_desktop_all-agents,534788,803,552,803,-0.3853324267719828,1.0
Halle_(Saale)_de.wikipedia.org_desktop_all-agents,533999,803,543,803,-0.030651608480077436,1.0
奇皇后_(電視劇)_zh.wikipedia.org_mobile-web_all-agents,533597,803,541,803,-0.03452837018501409,1.0
クズの本懐_ja.wikipedia.org_desktop_all-agents,532996,803,557,551,-0.12112682091808913,0.6861768368617683
Anexo:Ganadores_del_Premio_Nobel_de_la_Paz_es.wikipedia.org_desktop_all-agents,531502,803,546,802,-0.0775437254092396,0.9987546699875467
市川実日子_ja.wikipedia.org_mobile-web_all-agents,529436,803,547,803,-0.2227691038836619,1.0
父の日_ja.wikipedia.org_all-access_all-agents,527915,803,563,747,-0.02891130246622834,0.9302615193026152
政宗くんのリベンジ_ja.wikipedia.org_desktop_all-agents,527069,803,550,363,-0.16961514964453073,0.4520547945205479
Trevante_Rhodes_en.wikipedia.org_desktop_all-agents,524766,803,541,388,-inf,0.48318804483188044
秘密花園_(韓國電視劇)_zh.wikipedia.org_all-access_all-agents,523595,803,550,803,-0.023352071382621777,1.0
アリアナ・グランデ_ja.wikipedia.org_desktop_all-agents,522300,803,563,803,-0.05108913560327932,1.0
終極一班3_zh.wikipedia.org_all-access_all-agents,521274,803,557,803,-0.01977122680313734,1.0
Yann_Barthès_fr.wikipedia.org_mobile-web_all-agents,519132,803,550,731,-0.2695595451997622,0.9103362391033624
Cometa_es.wikipedia.org_desktop_all-agents,517834,803,552,796,-0.05679081442180293,0.9912826899128269
Schilddrüse_de.wikipedia.org_mobile-web_all-agents,515645,803,558,803,-0.013387267263203285,1.0
New_Development_Bank_en.wikipedia.org_desktop_all-agents,515049,803,552,803,-0.42432531567402987,1.0
Panzerkampfwagen_IV_de.wikipedia.org_all-access_all-agents,514629,803,553,803,-0.056689158781899715,1.0
"Николаев,_Игорь_Юрьевич_ru.wikipedia.org_desktop_all-agents",514520,803,556,803,-0.1376164050964445,1.0
Jessica_Ginkel_de.wikipedia.org_mobile-web_all-agents,514339,803,557,593,-0.9311197647527554,0.7384806973848069
Imany_fr.wikipedia.org_all-access_all-agents,513920,803,544,633,-0.19696822993884452,0.788293897882939
Grand_Slam_(Tennis)_de.wikipedia.org_all-access_all-agents,513639,803,568,798,-0.14647176010385887,0.9937733499377335
Chinin_de.wikipedia.org_mobile-web_all-agents,513159,803,549,803,-0.032381058540171224,1.0
土屋太鳳_ja.wikipedia.org_all-access_spider,512909,803,543,726,-0.39333491433860046,0.9041095890410958
Reichskriegsflagge_de.wikipedia.org_all-access_all-agents,510922,803,543,803,-0.041104954999285896,1.0
Affaire_Dreyfus_fr.wikipedia.org_desktop_all-agents,509858,803,560,803,-0.03221218688746092,1.0
Año_bisiesto_es.wikipedia.org_desktop_all-agents,509005,803,551,802,-0.09665364912550531,0.9987546699875467
"Кержаков,_Александр_Анатольевич_ru.wikipedia.org_mobile-web_all-agents",508521,803,561,803,-0.25158015448765814,1.0
Paolo_Guerrero_es.wikipedia.org_mobile-web_all-agents,507556,803,557,803,-0.18802007325318726,1.0
"Яровая,_Ирина_Анатольевна_ru.wikipedia.org_desktop_all-agents",506689,803,539,799,-0.13089617355621083,0.9950186799501868
Потери_в_Великой_Отечественной_войне_ru.wikipedia.org_desktop_all-agents,506225,803,547,803,-0.021246191306786892,1.0
Miguel_Ángel_Muñoz_es.wikipedia.org_all-access_all-agents,505582,803,554,802,-0.2061746012046525,0.9987546699875467
竹下登_ja.wikipedia.org_mobile-web_all-agents,503509,803,563,803,-0.19453379466744125,1.0
Suizid_de.wikipedia.org_mobile-web_all-agents,502496,803,551,803,-0.02626497052779745,1.0
Indiana_Jones_de.wikipedia.org_mobile-web_all-agents,502370,803,557,803,-0.21028453641452843,1.0
Árbol_de_Navidad_es.wikipedia.org_mobile-web_all-agents,501451,803,562,344,-0.03353352519246206,0.42839352428393523
Mischa_Zverev_en.wikipedia.org_mobile-web_all-agents,501099,803,562,340,-0.510580337417798,0.42341220423412207
Golpes_de_estado_en_Argentina_es.wikipedia.org_mobile-web_all-agents,500600,803,542,656,-0.08253418140873596,0.8169364881693649
Ku-Klux-Klan_de.wikipedia.org_desktop_all-agents,499160,803,562,803,-0.06619696018315822,1.0
Южный_парк_ru.wikipedia.org_desktop_all-agents,497746,803,545,652,-0.021053817904944018,0.8119551681195517
Крещение_ru.wikipedia.org_all-access_all-agents,497169,803,542,803,-0.020424016798871455,1.0
"Олсен,_Элизабет_ru.wikipedia.org_desktop_all-agents",497033,803,554,803,-0.03419662225714861,1.0
Сон_ru.wikipedia.org_mobile-web_all-agents,494984,803,538,803,-0.00766026693204234,1.0
Heiko_Maas_de.wikipedia.org_desktop_all-agents,494508,803,557,795,-0.1686105866095275,0.9900373599003736
"Руни,_Уэйн_ru.wikipedia.org_desktop_all-agents",494248,803,566,803,-0.07394410909792037,1.0
彬子女王_ja.wikipedia.org_all-access_all-agents,493258,803,554,803,-0.5359327590685286,1.0
Harry_Houdini_fr.wikipedia.org_all-access_all-agents,493235,803,568,803,-0.19105298035109922,1.0
Fernando_I_del_Sacro_Imperio_Romano_Germánico_es.wikipedia.org_all-access_all-agents,492981,803,569,802,-0.20330718212184654,0.9987546699875467
キャプテン・アメリカ/ウィンター・ソルジャー_ja.wikipedia.org_mobile-web_all-agents,492537,803,570,803,-0.06711822785549586,1.0
Ранетки_(группа)_ru.wikipedia.org_mobile-web_all-agents,490311,803,562,803,-0.10075459224292502,1.0
Ana_(madre_de_María)_es.wikipedia.org_all-access_all-agents,488560,803,551,803,-0.022924934675818652,1.0
Косатка_(млекопитающее)_ru.wikipedia.org_mobile-web_all-agents,488371,803,567,803,-0.03703544307847886,1.0
オートファジー_ja.wikipedia.org_all-access_all-agents,487074,803,546,741,-0.5624534519854294,0.9227895392278954
Muriel_Robin_fr.wikipedia.org_all-access_all-agents,486446,803,530,803,-0.3223918053978228,1.0
La_Catrina_es.wikipedia.org_desktop_all-agents,485691,803,540,797,-0.03557977573896151,0.9925280199252802
勒布朗·詹姆斯_zh.wikipedia.org_desktop_all-agents,485235,803,562,803,-0.05971110316841062,1.0
День_Земли_ru.wikipedia.org_all-access_all-agents,482369,803,547,364,-0.09099631167620947,0.4533001245330012
"Меньшова,_Юлия_Владимировна_ru.wikipedia.org_mobile-web_all-agents",480909,803,562,803,-0.16994877074494324,1.0
Felix_Jaehn_de.wikipedia.org_mobile-web_all-agents,479555,803,551,801,-0.3699520705008386,0.9975093399750934
Salzsäure_de.wikipedia.org_desktop_all-agents,475292,803,535,802,-0.07472036900637125,0.9987546699875467
Alex_Lutz_fr.wikipedia.org_all-access_all-agents,474575,803,560,803,-0.18516513268841314,1.0
欧洲联盟_zh.wikipedia.org_desktop_all-agents,473800,803,552,803,-0.0344633691517231,1.0
未来日記_(漫画)_ja.wikipedia.org_mobile-web_all-agents,473698,803,532,803,-0.01811839632780035,1.0
Google_zh.wikipedia.org_mobile-web_all-agents,473258,803,550,803,-0.026681202214391266,1.0
Motsi_Mabuse_de.wikipedia.org_mobile-web_all-agents,472427,803,549,490,-2.0102930309693656,0.6102117061021171
雲のむこう、約束の場所_ja.wikipedia.org_all-access_all-agents,472243,803,550,803,-0.058458849130084825,1.0
Lord_Voldemort_es.wikipedia.org_mobile-web_all-agents,472216,803,537,803,-0.11882267448500965,1.0
火影忍者疾風傳_zh.wikipedia.org_desktop_all-agents,472060,803,560,803,-0.017534731307665093,1.0
Schreckschusswaffe_de.wikipedia.org_all-access_all-agents,470291,803,556,803,-0.05283061004219864,1.0
"Монсон,_Джефф_ru.wikipedia.org_desktop_all-agents",469037,803,568,802,-0.6263116216279235,0.9987546699875467
Arménie_fr.wikipedia.org_desktop_all-agents,468710,803,538,803,-0.03871900972207692,1.0
Salto_de_longitud_es.wikipedia.org_mobile-web_all-agents,468644,803,554,791,-0.055019528163006606,0.9850560398505604
WTO姐妹會_zh.wikipedia.org_all-access_all-agents,468206,803,553,803,-0.020046756922127134,1.0
美馬怜子_ja.wikipedia.org_mobile-web_all-agents,467126,803,570,543,-2.1058845924055842,0.676214196762142
耶稣_zh.wikipedia.org_all-access_all-agents,465845,803,536,803,-0.01645742666738802,1.0
Día_del_Veterano_y_de_los_Caídos_en_la_Guerra_de_Malvinas_es.wikipedia.org_all-access_all-agents,465464,803,552,248,-0.07387233410284122,0.30884184308841844
"Сайм,_Дженнифер_ru.wikipedia.org_all-access_all-agents",465447,803,568,803,-0.08165725104375299,1.0
Yo_soy_Franky_es.wikipedia.org_desktop_all-agents,465205,803,553,707,-inf,0.8804483188044832
Achille_fr.wikipedia.org_mobile-web_all-agents,463828,803,547,803,-0.3232173976363224,1.0
"Тёрнер,_Софи_(актриса)_ru.wikipedia.org_mobile-web_all-agents",461950,803,540,803,-0.03115364354103431,1.0
William_Wallace_de.wikipedia.org_all-access_all-agents,460366,803,559,803,-0.20477281592634974,1.0
Schlaganfall_de.wikipedia.org_desktop_all-agents,459165,803,547,803,-0.07004607049815013,1.0
Teen_Wolf_(Fernsehserie)_de.wikipedia.org_desktop_all-agents,457784,803,544,803,-0.016666384471490013,1.0
賤ヶ岳の戦い_ja.wikipedia.org_desktop_all-agents,456963,803,546,803,-0.05613727792897278,1.0
辽宁号航空母舰_zh.wikipedia.org_all-access_all-agents,454592,803,556,803,-0.07483581595596735,1.0
パーフェクト_リバティー教団_ja.wikipedia.org_mobile-web_all-agents,452414,803,552,803,-0.12687855367571185,1.0
Colonia_Dignidad_es.wikipedia.org_all-access_all-agents,451599,803,569,520,-0.1401647150448861,0.6475716064757161
Lógica_proposicional_es.wikipedia.org_desktop_all-agents,450735,803,544,793,-0.09259916124634408,0.987546699875467
Liste_des_meilleurs_buteurs_en_équipe_de_France_de_football_fr.wikipedia.org_all-access_all-agents,450600,803,552,730,-0.26176515943936113,0.9090909090909091
François_Ruffin_fr.wikipedia.org_all-access_all-agents,450524,803,550,545,-0.30562550060004245,0.6787048567870486
赤江珠緒_ja.wikipedia.org_desktop_all-agents,449791,803,561,776,-0.4171015360198606,0.9663760896637609
Iris_Mittenaere_fr.wikipedia.org_mobile-web_all-agents,449671,803,568,540,-inf,0.6724782067247821
"Под_покровом_ночи_(фильм,_2016)_ru.wikipedia.org_all-access_all-agents",447812,803,560,324,-inf,0.40348692403486924
Dirk_Nowitzki_de.wikipedia.org_desktop_all-agents,445874,803,552,803,-0.16624616857116467,1.0
Natalia_Wörner_de.wikipedia.org_mobile-web_all-agents,445500,803,547,764,-0.7772867051194622,0.9514321295143213
訃報_2016年_ja.wikipedia.org_desktop_all-agents,445240,803,555,488,-inf,0.6077210460772104
Alexandra_Lamy_fr.wikipedia.org_desktop_all-agents,438627,803,542,803,-0.05822971259845471,1.0
Олег_Вещий_ru.wikipedia.org_mobile-web_all-agents,438570,803,544,803,-0.03943490979375025,1.0
ターミネーター4_ja.wikipedia.org_mobile-web_all-agents,438567,803,565,803,-0.1427092333895707,1.0
洪小鈴_zh.wikipedia.org_all-access_all-agents,437946,803,560,803,-0.02897836603796555,1.0
Special:MobileMenu_www.mediawiki.org_mobile-web_all-agents,435692,803,553,803,-0.014660758913220068,1.0
Праздник_ru.wikipedia.org_all-access_all-agents,434729,803,534,690,-0.04323942384265208,0.8592777085927771
Cecil_Chubb_en.wikipedia.org_all-access_all-agents,433305,803,552,38,-24.29291150086816,0.047322540473225407
Нарко_(телесериал)_ru.wikipedia.org_all-access_all-agents,432806,803,556,666,-inf,0.8293897882938979
Ségolène_Royal_fr.wikipedia.org_mobile-web_all-agents,430557,803,545,803,-0.14441119635465455,1.0
Áreas_naturales_protegidas_del_Perú_es.wikipedia.org_all-access_all-agents,429946,803,552,700,-0.17753902074218172,0.8717310087173101
Member_Berries_en.wikipedia.org_mobile-web_all-agents,429915,803,559,364,-inf,0.4533001245330012
Kara_zh.wikipedia.org_all-access_all-agents,429799,803,561,803,-0.027962527093007717,1.0
Candaulisme_fr.wikipedia.org_mobile-web_all-agents,427858,803,552,803,-0.07413931243685042,1.0
Sophie_Taeuber-Arp_en.wikipedia.org_all-access_all-agents,427847,803,546,123,-0.34393008108310624,0.15317559153175592
Liste_der_Sieger_und_Veranstaltungen_des_Eurovision_Song_Contests_de.wikipedia.org_all-access_all-agents,426287,803,557,796,-0.08717833213353546,0.9912826899128269
"Тальков,_Игорь_Владимирович_ru.wikipedia.org_mobile-web_all-agents",424372,803,568,803,-0.1477033461317182,1.0
Biathlon_de.wikipedia.org_all-access_all-agents,423306,803,539,798,-0.09323302439527205,0.9937733499377335
Кислород_ru.wikipedia.org_mobile-web_all-agents,422318,803,555,802,-0.026511884667120462,0.9987546699875467
Pfund_Sterling_de.wikipedia.org_desktop_all-agents,418236,803,534,803,-0.04825108750108935,1.0
Oasisamérica_es.wikipedia.org_mobile-web_all-agents,417663,803,561,616,-0.09426666894427023,0.7671232876712328
Les_Simpson_fr.wikipedia.org_mobile-web_all-agents,417503,803,563,803,-0.22490497954755723,1.0
René_Laënnec_es.wikipedia.org_desktop_all-agents,417076,803,560,22,-0.4846959500359633,0.0273972602739726
Kristen_Stewart_de.wikipedia.org_desktop_all-agents,416082,803,575,803,-0.052901586949594376,1.0
Géraldine_Maillet_fr.wikipedia.org_mobile-web_all-agents,413183,803,559,367,-0.6114581006130968,0.45703611457036114
"Папанов,_Анатолий_Дмитриевич_ru.wikipedia.org_desktop_all-agents",412232,803,541,803,-0.04976707768374486,1.0
Alicia_en_el_país_de_las_maravillas_(película_de_2010)_es.wikipedia.org_mobile-web_all-agents,411680,803,552,769,-0.12742040558734752,0.9576587795765878
Tony_Parker_fr.wikipedia.org_desktop_all-agents,410590,803,568,802,-0.06623392194769513,0.9987546699875467
Almudena_Cid_es.wikipedia.org_all-access_all-agents,410110,803,539,798,-0.4040333023654319,0.9937733499377335
Juegos_Olímpicos_de_Londres_2012_es.wikipedia.org_desktop_all-agents,409501,803,542,784,-0.03461539752551659,0.9763387297633873
Vitesse_de_la_lumière_fr.wikipedia.org_mobile-web_all-agents,408080,803,556,803,-0.028649398341373235,1.0
Everest_(2015)_de.wikipedia.org_mobile-web_all-agents,407149,803,550,720,-inf,0.8966376089663761
阿尔伯特·爱因斯坦_zh.wikipedia.org_mobile-web_all-agents,404475,803,564,803,-0.03661259295225442,1.0
Henry_Ramos_Allup_es.wikipedia.org_all-access_all-agents,403915,803,564,627,-0.08767889829964431,0.7808219178082192
Olympische_Spiele_der_Antike_de.wikipedia.org_all-access_all-agents,403358,803,555,797,-0.06411552313608254,0.9925280199252802
森山周一郎_ja.wikipedia.org_all-access_all-agents,403280,803,552,803,-0.2801625278678457,1.0
甄子丹_zh.wikipedia.org_desktop_all-agents,402335,803,540,803,-0.025824214598859307,1.0
AKB48_41stシングル選抜総選挙_ja.wikipedia.org_all-access_all-agents,402083,803,549,674,-0.06010318382686626,0.8393524283935243
Help:Categories_www.mediawiki.org_all-access_all-agents,401499,803,553,803,-0.05860225996075101,1.0
Windows_10_zh.wikipedia.org_desktop_all-agents,401360,803,554,803,-0.0347974387082026,1.0
公公出宮_zh.wikipedia.org_mobile-web_all-agents,401315,803,542,549,-0.04112427508982986,0.6836861768368617
Érythrée_fr.wikipedia.org_desktop_all-agents,399255,803,542,803,-0.1155634663673034,1.0
渕上舞_ja.wikipedia.org_desktop_all-agents,397278,803,559,803,-0.028849910984001047,1.0
幽☆遊☆白書_(テレビアニメ)_ja.wikipedia.org_mobile-web_all-agents,396927,803,560,803,-0.023758545423186023,1.0
Triathlon_fr.wikipedia.org_mobile-web_all-agents,396897,803,552,803,-0.11444987814040897,1.0
Saison_4_d'Arrow_fr.wikipedia.org_desktop_all-agents,395934,803,568,754,-inf,0.9389788293897883
阿里巴巴集团_zh.wikipedia.org_desktop_all-agents,394691,803,542,803,-0.03628224176049089,1.0
Élection_présidentielle_française_de_2002_fr.wikipedia.org_desktop_all-agents,394683,803,555,676,-0.06674297849530265,0.8418430884184309
Environnement_fr.wikipedia.org_desktop_all-agents,394127,803,555,800,-0.041526074643137685,0.9962640099626401
James_Clerk_Maxwell_es.wikipedia.org_desktop_all-agents,393581,803,550,794,-0.047356772564887836,0.9887920298879203
Liste_d'abréviations_en_médecine_fr.wikipedia.org_mobile-web_all-agents,393193,803,548,800,-0.030074431517064987,0.9962640099626401
Misfits_(Fernsehserie)_de.wikipedia.org_mobile-web_all-agents,391280,803,543,803,-0.06495370819514464,1.0
吉村真晴_ja.wikipedia.org_mobile-web_all-agents,390777,803,564,259,-0.4731928251171114,0.32254047322540474
Bee_Gees_de.wikipedia.org_mobile-web_all-agents,389324,803,569,803,-0.2028458022649017,1.0
2020年夏季オリンピック_ja.wikipedia.org_desktop_all-agents,388555,803,563,789,-0.04940266991853237,0.9825653798256538
Атлетико_Мадрид_ru.wikipedia.org_mobile-web_all-agents,388510,803,547,803,-0.11375909399603294,1.0
Die_Peanuts_de.wikipedia.org_mobile-web_all-agents,388196,803,555,803,-0.04392785874461217,1.0
となりのトトロ_ja.wikipedia.org_desktop_all-agents,386864,803,548,803,-0.08164258281836526,1.0
Слот_(группа)_ru.wikipedia.org_desktop_all-agents,386145,803,550,803,-0.029934239442497044,1.0
Gaulois_(peuples)_fr.wikipedia.org_all-access_all-agents,385151,803,545,803,-0.03018418173232829,1.0
Francis_Cabrel_fr.wikipedia.org_desktop_all-agents,384647,803,547,803,-0.059985461525985294,1.0
Shaquille_O'Neal_fr.wikipedia.org_mobile-web_all-agents,382400,803,554,803,-0.056672091960962435,1.0
Сигурд_Змееглазый_ru.wikipedia.org_all-access_all-agents,380864,803,551,630,-inf,0.7845579078455791
Anillos_olímpicos_es.wikipedia.org_mobile-web_all-agents,380274,803,559,748,-0.07358436887468658,0.9315068493150684
ももくり_ja.wikipedia.org_all-access_all-agents,380185,803,551,750,-inf,0.933997509339975
Prince_singles_discography_en.wikipedia.org_desktop_all-agents,378838,803,542,803,-0.27079573142991076,1.0
奥林匹克运动会_zh.wikipedia.org_desktop_all-agents,377877,803,540,803,-0.06333103179080932,1.0
重力波_(相対論)_ja.wikipedia.org_all-access_all-agents,376658,803,552,712,-0.12694999350721448,0.8866749688667497
ヒグラシ_ja.wikipedia.org_mobile-web_all-agents,376599,803,556,385,-0.04671952155947686,0.4794520547945205
Дезстроук_ru.wikipedia.org_desktop_all-agents,373819,803,548,550,-0.03548942423705995,0.684931506849315
Bibi_Blocksberg_de.wikipedia.org_mobile-web_all-agents,372587,803,545,803,-0.05592396577740613,1.0
"Кэмерон,_Джеймс_ru.wikipedia.org_mobile-web_all-agents",369866,803,552,803,-0.05475396300787001,1.0
Рейтинг_сборных_ФИФА_ru.wikipedia.org_desktop_all-agents,369159,803,556,803,-0.09598414543400846,1.0
Louis_Pasteur_fr.wikipedia.org_mobile-web_all-agents,368869,803,569,803,-0.06384253305125759,1.0
Служебная:Ссылки_сюда_ru.wikipedia.org_all-access_spider,368561,803,539,540,-0.6679042459296274,0.6724782067247821
24個比利_zh.wikipedia.org_all-access_all-agents,367463,803,554,803,-0.04521318631110595,1.0
Die_drei_Musketiere_(2011)_de.wikipedia.org_mobile-web_all-agents,366808,803,568,700,-0.46138284325291207,0.8717310087173101
Gaspard_Proust_fr.wikipedia.org_all-access_all-agents,365807,803,550,803,-0.1324830386948081,1.0
"Турман,_Ума_ru.wikipedia.org_mobile-web_all-agents",365200,803,556,803,-0.10172640689225214,1.0
Talk:Main_Page_commons.wikimedia.org_all-access_all-agents,364746,803,574,755,-0.10403954428796938,0.9402241594022416
Henriette_Reker_de.wikipedia.org_all-access_all-agents,364509,803,566,518,-0.4657570829983889,0.6450809464508095
Día_Internacional_del_Beso_es.wikipedia.org_all-access_all-agents,363584,803,560,357,-0.18468379825462378,0.44458281444582815
Лига_справедливости_(фильм)_ru.wikipedia.org_desktop_all-agents,363277,803,567,390,-inf,0.48567870485678705
Электра_(Marvel_Comics)_ru.wikipedia.org_all-access_all-agents,362609,803,550,803,-0.023423975342493807,1.0
Peter_Sagan_fr.wikipedia.org_all-access_all-agents,362334,803,557,638,-0.2611469338828127,0.7945205479452054
Severus_Rogue_fr.wikipedia.org_all-access_all-agents,361677,803,549,803,-0.22448977079313714,1.0
等一個人咖啡_zh.wikipedia.org_mobile-web_all-agents,360387,803,566,803,-0.20585294421410769,1.0
ニーア_ゲシュタルト/レプリカント_ja.wikipedia.org_desktop_all-agents,359769,803,551,798,-0.04255341788822419,0.9937733499377335
Spreewald_de.wikipedia.org_desktop_all-agents,359010,803,552,791,-0.5742738906388115,0.9850560398505604
葉問3_zh.wikipedia.org_desktop_all-agents,357843,803,538,687,-inf,0.8555417185554172
石井マーク_ja.wikipedia.org_all-access_all-agents,357547,803,551,803,-0.11398659422516658,1.0
Morelia_es.wikipedia.org_desktop_all-agents,356423,803,546,793,-0.5897654133472564,0.987546699875467
Буркина-Фасо_ru.wikipedia.org_desktop_all-agents,356084,803,550,803,-0.14844425014799983,1.0
李玹雨_zh.wikipedia.org_mobile-web_all-agents,355981,803,551,795,-0.04969788304562525,0.9900373599003736
Малиновое_Озеро_ru.wikipedia.org_all-access_all-agents,355807,803,542,294,-0.3804499812704717,0.36612702366127026
黄渤_zh.wikipedia.org_all-access_all-agents,355428,803,545,803,-0.030639983955988343,1.0
Torneo_Apertura_2016_(México)_es.wikipedia.org_mobile-web_all-agents,354672,803,541,431,-inf,0.5367372353673724
Plano_(lenguaje_audiovisual)_es.wikipedia.org_all-access_all-agents,354354,803,562,590,-1.75809103889673,0.7347447073474471
Empathie_fr.wikipedia.org_mobile-web_all-agents,353638,803,567,803,-0.011898208241026125,1.0
中島愛_(声優)_ja.wikipedia.org_desktop_all-agents,352324,803,563,803,-0.0639625846259951,1.0
Agatha_Christie_fr.wikipedia.org_mobile-web_all-agents,346783,803,556,803,-0.09135468750250796,1.0
桜井俊_ja.wikipedia.org_desktop_all-agents,346066,803,554,501,-inf,0.6239103362391034
Magic_Johnson_de.wikipedia.org_all-access_all-agents,345097,803,551,803,-0.12353837675532482,1.0
Яблочный_Спас_ru.wikipedia.org_all-access_all-agents,344322,803,554,356,-0.06350498551396534,0.44333748443337484
Prostitution_de.wikipedia.org_desktop_all-agents,342821,803,547,803,-0.06702245221894079,1.0
Michèle_Laroque_fr.wikipedia.org_desktop_all-agents,342170,803,560,803,-0.20486535732400094,1.0
Сборная_Португалии_по_футболу_ru.wikipedia.org_desktop_all-agents,341719,803,550,803,-0.05341611757551438,1.0
The_Dark_Knight_de.wikipedia.org_desktop_all-agents,341562,803,549,803,-0.040184012244584316,1.0
Hawaii_en.wikipedia.org_all-access_spider,341442,803,564,749,-0.11204517041371537,0.9327521793275217
Чемпионат_Европы_по_футболу_2008_ru.wikipedia.org_mobile-web_all-agents,341046,803,560,800,-0.052341499071126896,0.9962640099626401
盖尔·加朵_zh.wikipedia.org_desktop_all-agents,340413,803,550,625,-0.10361356958994453,0.7783312577833126
Zygmunt_Bauman_es.wikipedia.org_desktop_all-agents,339138,803,539,799,-0.10762195253114573,0.9950186799501868
Championnat_d'Europe_de_football_2020_fr.wikipedia.org_mobile-web_all-agents,339035,803,531,532,-0.12551095743916355,0.6625155666251556
Now_You_See_Me_es.wikipedia.org_desktop_all-agents,338997,803,544,803,-0.03184379757368373,1.0
Computer_en.wikipedia.org_all-access_spider,338396,803,565,743,-0.182544142469363,0.925280199252802
"Демидова,_Алла_Сергеевна_ru.wikipedia.org_all-access_all-agents",337803,803,544,803,-0.1614328189093931,1.0
中華民國外交_zh.wikipedia.org_all-access_all-agents,337666,803,574,803,-0.1509993108903187,1.0
U.S._Route_66_fr.wikipedia.org_mobile-web_all-agents,337406,803,550,803,-0.1364726820219477,1.0
Krishna's_Butterball_en.wikipedia.org_desktop_all-agents,337059,803,543,18,-inf,0.0224159402241594
バットマン_(架空の人物)_ja.wikipedia.org_mobile-web_all-agents,337001,803,548,803,-0.027817301326708725,1.0
Magneto_(cómic)_es.wikipedia.org_mobile-web_all-agents,336695,803,549,803,-0.10343323043761735,1.0
Kongress_der_Vereinigten_Staaten_de.wikipedia.org_all-access_all-agents,336601,803,534,803,-0.039192279820083435,1.0
Dev_Patel_es.wikipedia.org_mobile-web_all-agents,334826,803,537,696,-0.20068395305631498,0.8667496886674969
Freddy_Quinn_de.wikipedia.org_desktop_all-agents,334664,803,545,803,-0.08925366510510964,1.0
全日本フィギュアスケート選手権_ja.wikipedia.org_all-access_all-agents,334463,803,536,744,-0.07622272455717989,0.9265255292652553
Ivanka_Trump_es.wikipedia.org_desktop_all-agents,333843,803,561,703,-0.08940217163728545,0.8754669987546699
Les_100_meilleurs_livres_de_tous_les_temps_fr.wikipedia.org_desktop_all-agents,332570,803,562,668,-0.010422001580186697,0.8318804483188045
杜拉拉追婚記_zh.wikipedia.org_desktop_all-agents,332514,803,557,633,-inf,0.788293897882939
Roman_Polański_de.wikipedia.org_mobile-web_all-agents,332321,803,541,803,-0.2611275896585708,1.0
Mont_Rushmore_fr.wikipedia.org_mobile-web_all-agents,331884,803,545,803,-0.0963667391719022,1.0
Jodie_Foster_fr.wikipedia.org_desktop_all-agents,331589,803,554,803,-0.06582531378753094,1.0
Italienische_Fußballnationalmannschaft_de.wikipedia.org_mobile-web_all-agents,331194,803,563,637,-0.1565297154537332,0.7932752179327521
Liga_Europa_de_la_UEFA_2016-17_es.wikipedia.org_desktop_all-agents,331182,803,554,495,-inf,0.6164383561643836
Jean_Renoir_fr.wikipedia.org_all-access_all-agents,330225,803,567,803,-0.3210486269794823,1.0
聶小倩_(台灣電視劇)_zh.wikipedia.org_mobile-web_all-agents,330111,803,536,285,-inf,0.3549190535491905
Ángeles_y_demonios_(película_de_2009)_es.wikipedia.org_mobile-web_all-agents,329194,803,549,796,-0.3165199783796106,0.9912826899128269
Meghan_Markle_de.wikipedia.org_desktop_all-agents,328600,803,535,800,-0.19315614713777055,0.9962640099626401
